,Speed (OBD)(km/h),Absolute Throttle Position B(%),Torque(Nm),CO2_emission_g_per_km
1383,87.0,27.45098114,32.17637551,122.4184749652713
1384,88.0,27.45098114,36.10843065,124.06541185653927
1385,88.0,27.45098114,36.10843065,122.8588187654518
1386,88.0,29.80392075,36.10843065,129.32863652941253
1408,85.0,27.45098114,35.11933067,123.70565232585622
1409,86.0,27.05882263,35.10672384,122.77633492426739
1410,86.0,26.66666603,35.10672384,122.28454982576497
1411,88.0,27.05882263,35.10672384,123.9136192374648
1412,88.0,27.05882263,35.10672384,122.72332703054163
1413,89.0,26.66666603,56.9775894,122.72332703054163
1414,90.0,26.66666603,35.46516655,121.64164322212982
1415,91.0,26.66666603,35.46516655,122.29380049184275
1416,92.0,27.05882263,38.77770758,122.11945477902682
1417,92.0,29.80392075,38.77770758,124.12773059866153
1418,92.0,30.98039246,38.77770758,127.5557448322086
1425,90.0,30.19607925,35.36250683,132.57737034061591
1426,90.0,31.37254906,35.36250683,132.57737034061591
1427,91.0,32.15686417,32.1524626,140.22777895636136
1428,92.0,32.54901886,35.16576779,159.72060764506165
1429,92.0,32.54901886,35.16576779,159.2056074891209
1430,92.0,33.33333206,35.16576779,164.04345141195563
1439,91.0,33.33333206,39.43509651,133.85633954302557
1440,92.0,31.76470566,30.4633794,128.03848058059336
1441,92.0,28.23529434,30.4633794,128.03848058059336
1442,93.0,27.05882263,32.06673095,123.97149954986705
1443,94.0,25.88235283,32.06673095,122.9031206987244
1444,95.0,25.88235283,36.35755723,121.41431926905167
1445,96.0,25.88235283,36.35755723,120.23387512991718
1446,97.0,25.88235283,35.93606224,121.71535526785698
1447,96.0,25.88235283,35.93606224,120.76374679649068
1448,96.0,25.88235283,35.93606224,120.76374679649068
